調味料を入れておいたり,調味料を入れる
卵をとくのに使ったりしています,卵をとく
純正の充電器で問題なく充電でき使用時間もこちらのほうが長く使えました,デジカメを使用する
購入したバッテリーを予備用に差し上げましたがカメラの寿命が延びた,カメラの寿命を延ばす
ジョギングの途中の水分補給でペットボトルを入れるのに購入,ペットボトルを入れる
トイレに使用するために購入しました明るさもじゅうぶんで取付も簡単でした,トイレの部屋を明るくする
おそろいのｔシャツを製作するために購入しました,ｔシャツを製作する
学校行事に使用する為に購入しました,学校行事に使用する
スリッパなので気にせずゆったり履こうと思います,スリッパを履く
バラを這わせるために購入しました,バラを這わせる
運転中に使用するために購入した,運転中に使用する
接続も問題無かったのですが受話音量の調節が難しいです,音を聞き取る
引き出しがパソコンをしまうのに便利と好評でした,パソコンをしまう
古いｄｙｎａｂｏｏｋｒｘ０が遅いのでメモリーを増やすために購入しました,メモリーを増やす
布団を暖めるために購入しました,布団を暖める
イベントに着るために買いました,イベントに着る
気軽につま弾くのに利用すると割り切ってつかう,つまを弾くのに利用する
ｐｃの側に置く為に購入しました,ｐｃの側に置く
光量もちょうどいいです,周りを明るくする
手首の傷を隠すために購入,手首の傷を隠す
引越し先の押入をクローゼットとして使うために購入しました,押入をクローゼットとして使う
０回試してみたら間違う事なくトレイへ収納されました念のため０回は通した方がいいかも知れませんがチマチマ数える事を考えると効率的,お金を数える
素材をデコするのにとても良いとのことでした,素材をデコする
詰め替え後の残った砂糖を保管するのに使ってます,砂糖を保管する
フィンを付けてシュノーケリングをするのに機能的にも充分役立ちます,シュノーケリングをする
子連れでソリなどやりにゲレンデへ行くのに購入しました,ソリなどをする
車の中で音楽を聞くために購入しました,音楽を聞く
私の大好きなお花で誕生日用に購入しましたつぼみしかなくてちゃんと咲いてくれるか不安でしたがキレイに咲きました,お花を飾る
前席に付けたモニターを後席から操作するために購入,モニターを操作する
公園でかぶる用に購入しました髪を結んだままかぶれる帽子を探していて見つけた瞬間かわいくて即購入,帽子をかぶる
ハイディの前カゴに取り付ける為に購入しました,カゴに取り付ける
卒園式に袴用に購入しました,袴を着る
こどもの自転車に付けるために購入,自転車につける
０人で同時に充電しても余裕で充電できました,充電をする
０リットルの瓶で作った梅酒用に購入しました大き過ぎず小さ過ぎずちょうどいい大きさでした,梅酒を飲む
ショートパスタを入れるために使おうと思います,ショートパスタを入れる
義理チョコを入れて配る為に購入しました,チョコを入れる
かなり椅子のシート部分がボロボロになりましたので自分たちで交換するために購入,カバーを張り替えする
タブレット購入初日に落下フレームにヒビが（泣）とりあえず用に購入するも商品として十分です,画面を守る
孫の浴衣を縫うために購入しました,浴衣を縫う
ネットでペットの粗相を発見するのに便利という記事を読み記事からのリンクで購入しました,ペットを監視する
会社の通帳を整理するために購入しました,通帳を整理する
物としては着火出来れば十分暖かくなります,火をつける
北海道でのわかさぎ釣時に使うために買った,釣時に使う
浪費欲,普段使い
残量表示もしっかりしてくれている,プリンタ用に使用
臭いはあまり感じられませんでした,ごろ寝をする為に購入
子供も気に入っています,すぐに履かせる
着易くて,羽織る
音が大きい,保存用
高評価,車中泊用
とても良かった,結婚式
思ったとおりの色,結婚式
肌触りも良,出産祝い
携帯経由,カーナビ用
とても丈夫,フェンスに目隠し用
星がた可愛い,ネームタグを作る
使い心地がいい,薬を塗る
匂いも結構,ごろ寝する
デザインもとても可愛い,認印
丈夫,ストック入れ
電池付き,交換用
条件に合う中で最安値,正確に軽量
断然良い,高校生用
体を冷やさず,お風呂
ｈｄｍｉ関係,テレビに差し替える
服装,旅行
素材,持つ手間
軽くて柔らかく,子供部屋
きれいに洗う,洗車
選べる,パッドに限界
尿糖値,健康
便利,干す用
安い,植える
使い易く,店
価格,羽子板
片付づけに,抹茶を立てる
